0,0,1,60
0,0,0,128
0,0,0,128
2,0,1,200
4,0,0,128
6,0,1,60
8,0,0,128
10,0,0,128
12,0,1,200
12,0,0,128
10,0,0,128
8,0,1,60
6,0,0,128
4,0,0,128
2,0,1,200
0,0,0,128
-2,0,0,128
-4,0,1,60
-6,0,0,128
-8,0,0,128
-10,0,1,200
-12,0,0,128
-12,0,0,128
-10,0,1,60
-8,0,0,128
-6,0,0,128
-4,0,1,200
-2,0,0,128
0,0,0,128
0,0,1,60
0,0,0,128
0,0,2,180
0,0,0,128
0,0,0,128
5,0,1,40
10,0,0,128
15,0,0,128
15,0,1,220
10,0,0,128
5,0,0,128
0,0,1,60
0,0,0,128
-5,0,0,128
-10,0,1,200
-15,0,0,128
-15,0,0,128
-10,0,1,40
-5,0,0,128
0,0,0,128
0,0,2,70
0,0,0,128
0,0,0,128
0,0,1,200
3,0,0,128
6,0,0,128
9,0,1,50
12,0,0,128
12,0,0,128
9,0,1,200
6,0,0,128
3,0,0,128
0,0,0,128
0,0,2,160
-3,0,0,128
-6,0,1,50
-9,0,0,128
-12,0,0,128
-12,0,1,200
-9,0,0,128
-6,0,0,128
-3,0,2,80
0,0,0,128
0,0,0,128
0,0,1,200
0,0,0,128
0,0,0,128
4,0,1,50
8,0,0,128
12,0,0,128
8,0,1,200
4,0,0,128
0,0,0,128
-4,0,1,50
-8,0,0,128
-12,0,0,128
-8,0,1,200
-4,0,0,128
0,0,0,128
0,0,2,170
0,0,0,128
0,0,1,50
0,0,0,128
5,0,0,128
10,0,1,200
15,0,0,128
10,0,0,128
5,0,1,50
0,0,0,128
-5,0,0,128
-10,0,1,200
-15,0,0,128
-10,0,2,80
-5,0,0,128
0,0,0,128
0,0,1,200
0,0,0,128
0,0,0,128
0,0,1,50
0,0,0,128
0,0,0,128
0,0,0,128
0,0,1,200
0,0,0,128
0,0,0,128
8,0,1,50
14,0,0,128
14,0,0,128
8,0,1,200
0,0,0,128
-8,0,0,128
-14,0,1,50
-14,0,0,128
-8,0,0,128
0,0,1,200
0,0,0,128
0,0,2,90
